[09/Aug/2026:03:11:07 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:11:26 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:43 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:43 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:45 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:45 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:46 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:47 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:49 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:49 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:49 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:49 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:49 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:49 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:50 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:50 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:50 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:50 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:50 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:50 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:13:50 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:13:50 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 2774] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://localhost:81/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/static/loader.js" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/entry/start.Bc2-tT3s.js" [Client 172.18.0.1] [Length 126] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/static/custom.css" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/Toaster.DKF17Rty.css" [Client 172.18.0.1] [Length 2917] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/Modal.CSlFhZkq.css" [Client 172.18.0.1] [Length 188] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/0.D-1LH_Ar.css" [Client 172.18.0.1] [Length 39127] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/D8-P3Sxj.js" [Client 172.18.0.1] [Length 11509] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/DAutZaRy.js" [Client 172.18.0.1] [Length 16945] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/DIeogL5L.js" [Client 172.18.0.1] [Length 99] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/entry/app.Bp7I4ZBs.js" [Client 172.18.0.1] [Length 6689] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/CWj6FrbW.js" [Client 172.18.0.1] [Length 143] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/C1FmrZbK.js" [Client 172.18.0.1] [Length 715] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/kXSiLDwZ.js" [Client 172.18.0.1] [Length 875] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/B2dQbMI5.js" [Client 172.18.0.1] [Length 409] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/DTtvsU5y.js" [Client 172.18.0.1] [Length 1215] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/DxlqTe30.js" [Client 172.18.0.1] [Length 1436] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/69_IOA4Y.js" [Client 172.18.0.1] [Length 71] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/nodes/0.DqaVU8Uk.js" [Client 172.18.0.1] [Length 21555] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/DU8Bp34v.js" [Client 172.18.0.1] [Length 361] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/ConfirmDialog.DaQE45yT.css" [Client 172.18.0.1] [Length 102] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/Drawer.BBo9ZRVf.css" [Client 172.18.0.1] [Length 188] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/CodeBracket.X_EDr3Bi.css" [Client 172.18.0.1] [Length 274] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/FileItem.0QBLpjKN.css" [Client 172.18.0.1] [Length 1408] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/Messages.DRe9xB1u.css" [Client 172.18.0.1] [Length 331] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/2.C-3WntNG.css" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/VoiceRecording.D0CG4PmL.css" [Client 172.18.0.1] [Length 117] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/ImportModal.tn0RQdqM.css" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/Cui6wHWG.js" [Client 172.18.0.1] [Length 3399] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/CL05SSCs.js" [Client 172.18.0.1] [Length 430] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/assets/Chat.Blp2gS0T.css" [Client 172.18.0.1] [Length 7381] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/dm1FmSOd.js" [Client 172.18.0.1] [Length 13547] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/DjewLkXc.js" [Client 172.18.0.1] [Length 367] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/D39laNvF.js" [Client 172.18.0.1] [Length 1821] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/C9xaiOcw.js" [Client 172.18.0.1] [Length 2776] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/C6Fb5Erg.js" [Client 172.18.0.1] [Length 19508] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/d2906HEn.js" [Client 172.18.0.1] [Length 55837] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/Bn968l-9.js" [Client 172.18.0.1] [Length 2137] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/CpYI-2uV.js" [Client 172.18.0.1] [Length 1147] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/5GkmTASJ.js" [Client 172.18.0.1] [Length 1103] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/DrUw4Fgz.js" [Client 172.18.0.1] [Length 264] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/RK711yvG.js" [Client 172.18.0.1] [Length 4143] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/QjJsDpFa.js" [Client 172.18.0.1] [Length 309] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/CWY7lA_3.js" [Client 172.18.0.1] [Length 16836] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/BT28bLwl.js" [Client 172.18.0.1] [Length 370] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/C_MjVUKC.js" [Client 172.18.0.1] [Length 1066] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/BYDd0O61.js" [Client 172.18.0.1] [Length 887] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/VN9XkWF8.js" [Client 172.18.0.1] [Length 4223] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:14:56 +0000] - 200 200 - GET http ai.know.mn "/_app/immutable/chunks/CjaAhkWq.js" [Client 172.18.0.1] [Length 153] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
